Words,Characters,F1
"(1, 1)","(2, 2)",46.07236999760364
"(1, 1)","(2, 3)",47.50210695102761
"(1, 1)","(2, 4)",46.93522575638242
"(1, 1)","(2, 5)",47.53127940484592
"(1, 1)","(2, 6)",47.89067142008318
"(1, 1)","(2, 7)",48.124185525760325
"(1, 1)","(3, 3)",48.677831187261404
"(1, 1)","(3, 4)",49.99394999395
"(1, 1)","(3, 5)",47.55868803112897
"(1, 1)","(3, 6)",48.1551696385456
"(1, 1)","(3, 7)",48.124185525760325
"(1, 1)","(4, 4)",46.40676674064398
"(1, 1)","(4, 5)",47.83708980239944
"(1, 1)","(4, 6)",47.652511846885254
"(1, 1)","(4, 7)",46.6162317945551
"(1, 1)","(5, 5)",47.923421337038754
"(1, 1)","(5, 6)",47.55868803112897
"(1, 1)","(5, 7)",46.39615993946703
"(1, 1)","(6, 6)",46.60882691573229
"(1, 1)","(6, 7)",46.345322304401584
"(1, 1)","(7, 7)",46.30390272701009
"(1, 2)","(2, 2)",44.19741488919781
"(1, 2)","(2, 3)",46.58977138589771
"(1, 2)","(2, 4)",46.246810660603764
"(1, 2)","(2, 5)",46.60543912265263
"(1, 2)","(2, 6)",46.29990857647263
"(1, 2)","(2, 7)",46.015254284184046
"(1, 2)","(3, 3)",48.86757785799425
"(1, 2)","(3, 4)",48.559843578357146
"(1, 2)","(3, 5)",48.53776465496285
"(1, 2)","(3, 6)",47.227389318055906
"(1, 2)","(3, 7)",47.2610227073767
"(1, 2)","(4, 4)",48.90852186354288
"(1, 2)","(4, 5)",46.855862639147254
"(1, 2)","(4, 6)",46.24366165515854
"(1, 2)","(4, 7)",46.94506694118397
"(1, 2)","(5, 5)",46.6642905112611
"(1, 2)","(5, 6)",46.3349004234582
"(1, 2)","(5, 7)",46.36975258245539
"(1, 2)","(6, 6)",46.82989649972628
"(1, 2)","(6, 7)",46.78060801249207
"(1, 2)","(7, 7)",44.706694271911665
"(1, 3)","(2, 2)",44.1761910372727
"(1, 3)","(2, 3)",45.56794564348521
"(1, 3)","(2, 4)",48.14345424690252
"(1, 3)","(2, 5)",46.80306905370844
"(1, 3)","(2, 6)",47.48016263361532
"(1, 3)","(2, 7)",47.23506459439963
"(1, 3)","(3, 3)",47.46513990211469
"(1, 3)","(3, 4)",48.09568667707942
"(1, 3)","(3, 5)",46.48807623006444
"(1, 3)","(3, 6)",47.1596498131025
"(1, 3)","(3, 7)",47.493408362973575
"(1, 3)","(4, 4)",48.30387004300047
"(1, 3)","(4, 5)",47.994729160825294
"(1, 3)","(4, 6)",47.1596498131025
"(1, 3)","(4, 7)",47.22236508822338
"(1, 3)","(5, 5)",46.584406555528005
"(1, 3)","(5, 6)",45.196377696377695
"(1, 3)","(5, 7)",45.77308972590453
"(1, 3)","(6, 6)",45.8241340129885
"(1, 3)","(6, 7)",44.88592686625057
"(1, 3)","(7, 7)",44.642617863817485
"(1, 4)","(2, 2)",44.34602728326371
"(1, 4)","(2, 3)",45.92754281420587
"(1, 4)","(2, 4)",48.412462415302144
"(1, 4)","(2, 5)",47.994729160825294
"(1, 4)","(2, 6)",45.96009583284239
"(1, 4)","(2, 7)",45.20798805787698
"(1, 4)","(3, 3)",47.40598957854969
"(1, 4)","(3, 4)",48.399027436636295
"(1, 4)","(3, 5)",46.72875011694771
"(1, 4)","(3, 6)",47.67110456535604
"(1, 4)","(3, 7)",47.493408362973575
"(1, 4)","(4, 4)",48.59833100099255
"(1, 4)","(4, 5)",48.290871532559514
"(1, 4)","(4, 6)",45.750252785856496
"(1, 4)","(4, 7)",45.50515474664081
"(1, 4)","(5, 5)",45.69460606274316
"(1, 4)","(5, 6)",45.20798805787698
"(1, 4)","(5, 7)",45.50515474664081
"(1, 4)","(6, 6)",45.773358251936486
"(1, 4)","(6, 7)",44.93389821856975
"(1, 4)","(7, 7)",42.57386810470734
"(2, 2)","(2, 2)",42.66647476492036
"(2, 2)","(2, 3)",48.2463768115942
"(2, 2)","(2, 4)",46.00738846263144
"(2, 2)","(2, 5)",45.680591077010504
"(2, 2)","(2, 6)",45.63489258080987
"(2, 2)","(2, 7)",44.91881503907405
"(2, 2)","(3, 3)",47.978446824274265
"(2, 2)","(3, 4)",45.305651887050644
"(2, 2)","(3, 5)",45.05203413678871
"(2, 2)","(3, 6)",45.02699630576868
"(2, 2)","(3, 7)",44.9048585026323
"(2, 2)","(4, 4)",45.60788197958782
"(2, 2)","(4, 5)",45.848555866471095
"(2, 2)","(4, 6)",45.531650443743146
"(2, 2)","(4, 7)",45.18215368393304
"(2, 2)","(5, 5)",45.09586941801204
"(2, 2)","(5, 6)",45.47528667277304
"(2, 2)","(5, 7)",44.04099116910505
"(2, 2)","(6, 6)",44.95106752966993
"(2, 2)","(6, 7)",43.47040991169105
"(2, 2)","(7, 7)",42.57370382250099
"(2, 3)","(2, 2)",42.4852781062637
"(2, 3)","(2, 3)",47.596406914659944
"(2, 3)","(2, 4)",45.6956153176635
"(2, 3)","(2, 5)",46.812165087476494
"(2, 3)","(2, 6)",46.22787156153567
"(2, 3)","(2, 7)",45.208028458911855
"(2, 3)","(3, 3)",49.28511718166891
"(2, 3)","(3, 4)",46.55627878649462
"(2, 3)","(3, 5)",47.10829538393777
"(2, 3)","(3, 6)",45.89946433657672
"(2, 3)","(3, 7)",46.11700039261876
"(2, 3)","(4, 4)",45.913150454830436
"(2, 3)","(4, 5)",45.25308444822977
"(2, 3)","(4, 6)",45.18215368393304
"(2, 3)","(4, 7)",44.90694175800559
"(2, 3)","(5, 5)",44.684102818884035
"(2, 3)","(5, 6)",44.93327015715076
"(2, 3)","(5, 7)",44.41279842269941
"(2, 3)","(6, 6)",44.81078239013068
"(2, 3)","(6, 7)",42.35231221598503
"(2, 3)","(7, 7)",42.038693223639356
"(2, 4)","(2, 2)",41.806411260336176
"(2, 4)","(2, 3)",45.84882035059971
"(2, 4)","(2, 4)",47.64099181266266
"(2, 4)","(2, 5)",46.48213208417616
"(2, 4)","(2, 6)",46.24318345813076
"(2, 4)","(2, 7)",45.928295032772645
"(2, 4)","(3, 3)",48.97283206581528
"(2, 4)","(3, 4)",46.54082411143359
"(2, 4)","(3, 5)",47.05111371352189
"(2, 4)","(3, 6)",46.27191003890033
"(2, 4)","(3, 7)",46.18215368393305
"(2, 4)","(4, 4)",45.84882035059971
"(2, 4)","(4, 5)",45.5831174515301
"(2, 4)","(4, 6)",45.571057111617776
"(2, 4)","(4, 7)",45.26494511569138
"(2, 4)","(5, 5)",44.674434508222646
"(2, 4)","(5, 6)",45.89946433657672
"(2, 4)","(5, 7)",45.36676085500599
"(2, 4)","(6, 6)",45.12608696812272
"(2, 4)","(6, 7)",42.67210593498048
"(2, 4)","(7, 7)",42.61700495795327
"(3, 3)","(2, 2)",43.56380275237662
"(3, 3)","(2, 3)",45.83866837387964
"(3, 3)","(2, 4)",45.61157242651905
"(3, 3)","(2, 5)",46.55627878649462
"(3, 3)","(2, 6)",45.54472879561218
"(3, 3)","(2, 7)",45.239686517882014
"(3, 3)","(3, 3)",48.04476964695031
"(3, 3)","(3, 4)",46.24318345813076
"(3, 3)","(3, 5)",46.43580392110276
"(3, 3)","(3, 6)",46.75273494134704
"(3, 3)","(3, 7)",45.864388926508035
"(3, 3)","(4, 4)",46.43580392110276
"(3, 3)","(4, 5)",46.40448550896312
"(3, 3)","(4, 6)",46.46767971501289
"(3, 3)","(4, 7)",45.50304035378662
"(3, 3)","(5, 5)",44.94490575985239
"(3, 3)","(5, 6)",43.54587241127842
"(3, 3)","(5, 7)",42.918814679039215
"(3, 3)","(6, 6)",42.99005265441646
"(3, 3)","(6, 7)",41.707018265098725
"(3, 3)","(7, 7)",41.060873937250925
"(3, 4)","(2, 2)",44.80765990994306
"(3, 4)","(2, 3)",45.5019680371793
"(3, 4)","(2, 4)",47.26139853945057
"(3, 4)","(2, 5)",46.18215368393305
"(3, 4)","(2, 6)",46.24318345813076
"(3, 4)","(2, 7)",45.292973931913316
"(3, 4)","(3, 3)",47.058990500944375
"(3, 4)","(3, 4)",47.64099181266266
"(3, 4)","(3, 5)",45.84882035059971
"(3, 4)","(3, 6)",46.55627878649462
"(3, 4)","(3, 7)",45.928295032772645
"(3, 4)","(4, 4)",46.73616046750375
"(3, 4)","(4, 5)",46.796086939971836
"(3, 4)","(4, 6)",46.54082411143359
"(3, 4)","(4, 7)",45.913150454830436
"(3, 4)","(5, 5)",45.63489258080987
"(3, 4)","(5, 6)",44.176812591887
"(3, 4)","(5, 7)",43.24722190399817
"(3, 4)","(6, 6)",43.29563087497916
"(3, 4)","(6, 7)",42.360663278112966
"(3, 4)","(7, 7)",41.0692286503879
